bytes,percentage,filenames,linenumbers
2080023440,94.54,/home/ashvith/.julia/packages/GLM/src/linpred.jl,108
60000240,2.73,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,49
20000080,0.91,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,288
20000080,0.91,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,54
20000080,0.91,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,53
21712,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,105
160,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,485
96,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,468
32,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,107
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,165
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,164
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,163
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,162
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,161
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,160
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,156
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,155
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,154
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,153
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,152
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,32
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,30
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,29
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,28
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,27
0,0.0,/home/ashvith/.julia/packages/GLM/src/linpred.jl,26
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,398
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,396
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,395
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,394
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,393
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,247
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,245
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,243
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,242
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,241
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,240
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmtools.jl,239
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,577
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,575
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,574
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,569
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,566
0,0.0,/home/ashvith/.julia/packages/GLM/src/glmfit.jl,565
